"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
-1.340092539787293,0.1923941075801849,-0.166229784488678,-1.340092596370557,0.1923941057558998,-0.1662297844046212,3.0,8.0,27817.0,1.364,829380059.0,829380059.0,-7.0
-20.92062950134277,3.018436193466187,-1.849270582199097,-20.9206301499459,3.018436112208357,-1.849270549619811,9.0,10.0,27821.0,21.218,829380064.0,829380064.0,-5.0
-28.54268455505371,4.133406162261963,-1.511462450027466,-28.54268445337567,4.133406048182389,-1.511462416296218,12.0,12.0,27824.0,28.88,829380068.0,829380068.0,-3.0
-0.5866554975509644,0.08704828470945358,-0.1589148938655853,-0.5866554809290176,0.08704828119211866,-0.1589148936929477,11.0,0.0,27844.0,0.614,829380096.0,829380096.0,-15.0
-0.6784749031066895,0.1010355949401856,-0.1583655476570129,-0.678474880519207,0.1010355953600104,-0.1583655422580809,11.0,2.0,27847.0,0.704,829380101.0,829380101.0,-13.0
-68.75086212158203,10.26261806488037,3.643001317977905,-68.75086091946562,10.26261802767325,3.643001242158834,50.0,3.0,27849.0,69.608,829380103.0,829380103.0,3.0
-0.8446129560470581,0.1263789683580399,-0.1660038232803345,-0.8446129805870708,0.1263789649610453,-0.166003825977594,12.0,4.0,27851.0,0.87,829380105.0,829380105.0,-11.0
-1.109573602676392,0.1666188836097717,-0.1777095496654511,-1.109573548801491,0.1666188909652237,-0.1777095522857023,14.0,6.0,27854.0,1.136,829380110.0,829380110.0,-9.0
-1.307309985160828,0.1970119327306747,-0.1623299717903137,-1.307309940509555,0.1970119330727322,-0.1623299654156565,2.0,8.0,27857.0,1.332,829380115.0,829380115.0,-7.0
-20.87540817260742,3.16083550453186,-1.847178816795349,-20.87540861235497,3.160835602253914,-1.847178811793867,9.0,10.0,27861.0,21.194,829380119.0,829380119.0,-5.0
-28.60001373291016,4.345770835876465,-1.516067981719971,-28.60001462595549,4.345770964259388,-1.516067980445597,12.0,12.0,27864.0,28.968,829380124.0,829380124.0,-3.0
-0.6127581596374512,0.09529805928468704,-0.1661618202924728,-0.6127581315518192,0.09529805601284956,-0.1661618269558183,10.0,0.0,27884.0,0.642,829380151.0,829380151.0,-15.0
-0.6816038489341736,0.106370709836483,-0.1592653393745422,-0.6816038600401573,0.1063707073888789,-0.1592653464754564,11.0,2.0,27887.0,0.708,829380156.0,829380156.0,-13.0
-68.92222595214844,10.78060817718506,3.655980587005615,-68.92222444877284,10.78060847925326,3.655980559307084,51.0,3.0,27889.0,69.856,829380158.0,829380158.0,3.0
-0.8320727348327637,0.1304479092359543,-0.1637141108512878,-0.8320727326378851,0.1304479020803896,-0.1637141180330755,13.0,4.0,27891.0,0.858,829380161.0,829380161.0,-11.0
